payment_id,timestamp,currency,amount,amount_cad,channel,customer_segment,customer_risk_tier,sender_country,receiver_country,cross_border,sender_bic,receiver_bic,sender_id,receiver_id,payment_purpose,sanctions_flag,rule_high_value,rule_cb_high,rule_high_risk_country,date,rule_velocity,date_dt,near_threshold,rule_structuring,flagged
6306,2024-07-30 21:09:00,GBP,81083.46,139463.55,WIRE,Retail,Low,CH,FR,1,VSWCNZRICOV,JWQZESX95FC,10001,24768,Remittance,0,1,1,0,2024-07-30,0,2024-07-30,0,0,1
5897,2025-02-08 07:24:00,USD,152899.46,206414.27,SWIFT,SMB,Medium,AE,AE,0,VUCZAUC81CO,KZWHNOCTF8W,10002,23451,Loan Repayment,0,1,0,0,2025-02-08,0,2025-02-08,0,0,1
9171,2024-05-18 07:17:00,EUR,34775.29,51119.68,SWIFT,Retail,Low,AR,SA,1,UCZDAR5UKUY,WKINNLKBIUS,10004,21739,Internal Transfer,0,0,0,0,2024-05-18,0,2024-05-18,0,0,0
5988,2024-10-03 04:11:00,INR,4496856.24,71949.7,SWIFT,Private Banking,Medium,IN,HK,1,BFJEFR47MHF,GCSIBRL2R5G,10004,34190,Remittance,0,0,0,0,2024-10-03,0,2024-10-03,0,0,0
4318,2024-02-04 04:30:00,INR,10112628.54,161802.06,ACH,SMB,Low,CA,TR,1,KVUTAU3Y1LT,AONMITZY34H,10005,32504,Remittance,0,1,1,0,2024-02-04,0,2024-02-04,0,0,1
3155,2025-01-02 13:06:00,AUD,14720.31,13248.28,SWIFT,Retail,Low,ES,NL,1,DYYKUANMR6O,NSTMDE4N5X8,10005,33135,Loan Repayment,0,0,0,0,2025-01-02,0,2025-01-02,0,0,0
5250,2025-07-08 07:44:00,INR,12353989.25,197663.83,SWIFT,Retail,Low,CN,NZ,1,ODVBESTE9Q6,DOQFSE3Z189,10007,23905,Tax Payment,0,1,1,0,2025-07-08,0,2025-07-08,0,0,1
8347,2024-08-01 03:30:00,AUD,51627.54,46464.79,SWIFT,SMB,Medium,MX,PL,1,USVYNLFW3HY,PNFOCHXU3CR,10010,25983,Tax Payment,0,0,0,0,2024-08-01,0,2024-08-01,0,0,0
3697,2025-08-21 13:31:00,CAD,87445.63,87445.63,SWIFT,Retail,Low,CN,US,1,YEUXDKVKAS5,QWRRAUECDLG,10010,30399,Internal Transfer,0,0,1,0,2025-08-21,0,2025-08-21,0,0,1
7937,2025-09-09 14:17:00,AUD,91608.11,82447.3,SWIFT,SMB,Low,GB,CN,1,ZSDPHKAZWWR,IYGYIN5T3RO,10010,30407,Vendor Settlement,0,0,1,0,2025-09-09,0,2025-09-09,0,0,1
3018,2024-08-26 05:18:00,CNY,72272.41,13731.76,SWIFT,SMB,Low,SG,SE,1,FFVHGBUTFLY,ZWLPZA9KW8U,10011,36944,Tax Payment,0,0,0,0,2024-08-26,0,2024-08-26,0,0,0
3434,2025-03-25 06:07:00,CNY,804392.29,152834.54,SWIFT,Retail,Medium,IT,IT,0,IONVCN81V0G,LESACHQ3XDE,10011,34227,Remittance,0,1,0,0,2025-03-25,0,2025-03-25,0,0,1
6133,2024-01-27 12:51:00,AUD,57616.95,51855.25,SEPA,Retail,Medium,CN,UA,1,CZQAPLDBXJY,RHWSNLRAOMP,10012,21569,FX Transfer,0,0,0,1,2024-01-27,0,2024-01-27,0,0,1
6606,2025-02-15 12:48:00,EUR,138482.7,203569.57,SWIFT,SMB,Medium,CN,FR,1,PBLBARPKB0R,UPNWNLZSUCM,10013,36963,Tax Payment,0,1,1,0,2025-02-15,0,2025-02-15,0,0,1
1121,2025-03-17 13:14:00,EUR,171287.23,251792.23,WIRE,Retail,Medium,NO,FR,1,PPVLUS1ZZDQ,OVOLAEBJV0W,10013,34801,Payroll,0,1,1,0,2025-03-17,0,2025-03-17,0,0,1
8371,2024-09-02 08:31:00,CAD,23611.13,23611.13,SWIFT,Retail,Low,DK,AU,1,AEDBSEEIEOK,DCTSHK5ZZGC,10014,33193,Remittance,0,0,0,0,2024-09-02,0,2024-09-02,0,0,0
8649,2025-04-02 18:52:00,USD,38479.14,51946.84,ACH,Retail,Medium,TR,NZ,1,EUXPMXI8CT5,TBWCFRS33J5,10014,31217,Payroll,0,0,0,0,2025-04-02,0,2025-04-02,0,0,0
4923,2025-07-01 00:01:00,CNY,892215.64,169520.97,SWIFT,Retail,High,UA,CN,1,SEEPGB0XA7V,MOQPAUCAC1C,10014,27977,Payroll,0,1,1,0,2025-07-01,0,2025-07-01,0,0,1
4636,2025-04-28 18:25:00,JPY,6293209.31,69225.3,WIRE,Corporate,Low,MX,JP,1,SOBXCH7NVIO,XCPUSEZKMBW,10015,23321,Vendor Settlement,0,0,0,0,2025-04-28,0,2025-04-28,0,0,0
8950,2024-07-31 23:13:00,AUD,85812.01,77230.81,SWIFT,Retail,Low,UA,SA,1,RPFCCH0EILB,RMRXUAF5CA1,10020,24838,Loan Repayment,0,0,1,0,2024-07-31,0,2024-07-31,0,0,1
